1778940308714|U002|B003|S002|S001|2026-05-16 19:35:08|2026-05-20 11:55:56|222.5|COMPLETED|HOURLY
1778940364877|1778938427265|1778938713361|S003|S002|2026-05-16 19:36:04|2026-05-16 19:36:11|23976.0|COMPLETED|DAILY
1779258541686|U002|B005|S002|S003|2026-05-20 11:59:01|2026-05-20 11:59:07|100.0|COMPLETED|DAILY
1779268506259|U002|B005|S002|S003|2026-05-20 14:45:06|2026-05-20 14:45:29|5.0|COMPLETED|HOURLY
1779269202795|U002|B005|S001|S001|2026-05-20 14:56:42|2026-05-20 14:56:45|100.0|COMPLETED|DAILY
1779269267861|U002|B004|S001|S001|2026-05-20 14:57:47|2026-05-20 14:57:50|2.0|COMPLETED|HOURLY
1779295617606|1778938427265|B005|S002|S001|2026-05-20 22:16:57|2026-05-20 22:17:00|5.0|COMPLETED|HOURLY
1779295636115|1778938427265|B004|S002|S003|2026-05-20 22:17:16|2026-05-20 22:17:18|40.0|COMPLETED|DAILY
1779295839543|1779295802248|B004|S002|S001|2026-05-20 22:20:39|2026-05-20 22:20:43|2.0|COMPLETED|HOURLY
1779339994948|1779295802248|B002|S001|S003|2026-05-21 10:36:34|2026-05-21 10:36:50|3.0|COMPLETED|HOURLY
1779610137208|1778938427265|B002|S001|S003|2026-05-24 13:38:57|2026-05-24 13:39:00|3.0|COMPLETED|HOURLY
1779610208086|1778938427265|B003|S002|S003|2026-05-24 13:40:08|2026-05-24 13:40:10|50.0|COMPLETED|DAILY
1779715577067|1779715559766|1778938713361|S001|S003|2026-05-25 18:56:17|2026-05-25 18:58:24|999.0|COMPLETED|HOURLY
1779717211817|1779717143885|B002|S001|S002|2026-05-25 19:23:31|2026-05-25 19:23:56|3.0|COMPLETED|HOURLY
1779725913837|1779717143885|B002|S001|S002|2026-05-25 21:48:33||0.0|CANCELLED|HOURLY
1779728482507|1779717143885|B005|S002|S001|2026-05-25 22:31:22||0.0|ACTIVE|HOURLY
