1778938226815|1778910229146|U002|28.0|CARD|COMPLETED|2026-05-16 19:00:26
1778938235148|1778910745218|U002|72.0|CASH|COMPLETED|2026-05-16 19:00:35
1778938242718|1778911810226|U002|20.0|CASH|COMPLETED|2026-05-16 19:00:42
1778938387774|1778938262238|U002|2.5|CASH|COMPLETED|2026-05-16 19:03:07
1778939764128|1778939641419|1778751726824|2.5|CASH|COMPLETED|2026-05-16 19:26:04
1778940378746|1778940364877|1778938427265|23976.0|CASH|COMPLETED|2026-05-16 19:36:18
1779258370211|1778940308714|U002|222.5|CASH|COMPLETED|2026-05-20 11:56:10
1779258552594|1779258541686|U002|100.0|CARD|COMPLETED|2026-05-20 11:59:12
1779268566116|1779268506259|U002|5.0|CARD|COMPLETED|2026-05-20 14:46:06
1779269221276|1779269202795|U002|100.0|CARD|COMPLETED|2026-05-20 14:57:01
1779269271751|1779269267861|U002|2.0|CASH|COMPLETED|2026-05-20 14:57:51
1779295622879|1779295617606|1778938427265|5.0|CASH|COMPLETED|2026-05-20 22:17:02
1779295673392|1779295636115|1778938427265|40.0|CARD|COMPLETED|2026-05-20 22:17:53
1779295845079|1779295839543|1779295802248|2.0|CASH|COMPLETED|2026-05-20 22:20:45
1779340065559|1779339994948|1779295802248|3.0|CARD|COMPLETED|2026-05-21 10:37:45
1779610141701|1779610137208|1778938427265|3.0|CASH|COMPLETED|2026-05-24 13:39:01
1779610220619|1779610208086|1778938427265|50.0|CARD|COMPLETED|2026-05-24 13:40:20
1779715713479|1779715577067|1779715559766|999.0|CARD|COMPLETED|2026-05-25 18:58:33
1779717261184|1779717211817|1779717143885|3.0|CARD|COMPLETED|2026-05-25 19:24:21
1779768545591|1779768360785|1779768299305|50.0|CARD|COMPLETED|2026-05-26 09:39:05
1779773744046|1779773710232|U002|50.0|CARD|COMPLETED|2026-05-26 11:05:44
1779774206005|1779774197212|U002|3.0|CASH|COMPLETED|2026-05-26 11:13:26
1779775673806|1779775542666|1778751726824|3.5|CARD|COMPLETED|2026-05-26 11:37:53
